English Term,Portuguese Translation,Definition
Standardization,Padronização,"Process of implementing technical standards"
Stakeholder,Stakeholder,"Person or group with interest in or affected by process"
Transformation,Transformação,"Process of changing from current state to future state"
Visibility,Visibilidade,"Ability to see and understand what's happening in process"
Benchmark,Benchmark,"Standard or point of reference for measuring performance"
Best Practice,Melhor Prática,"Method or technique recognized as superior to alternatives"
Capability,Capacidade,"Ability of process to meet specifications consistently"
Compliance,Compliance,"Conformity with rules, regulations, or standards"
Documentation,Documentação,"Written or recorded information about processes"
Excellence,Excelência,"Quality of being outstanding or extremely good"
Governance,Governança,"Framework for decision-making and accountability"
Innovation,Inovação,"Introduction of new ideas, methods, or products"
Leadership,Liderança,"Action of leading group of people or organization"
Metric,Métrica,"Standard of measurement for process performance"
Objective,Objetivo,"Goal or target to be achieved"
Problem-Solving,Resolução de Problemas,"Process of finding solutions to difficult issues"
Project,Projeto,"Temporary endeavor undertaken to create unique product or service"
Resource,Recurso,"Asset used to accomplish work or achieve objectives"
Strategy,Estratégia,"Plan of action designed to achieve long-term goals"
Training,Treinamento,"Process of teaching skills and knowledge"
Validation,Validação,"Process of checking that requirements are met"
